id,agentURL,price,addr,daftURL,longitude,latitude
50,https://www.daft.ie/dublin/estate-agents/drumcondra/movehome_santry/,"€1,911 Per month","145 147 Waterfall Court, Apt 15, Waterfall Avenue, Drumcondra, Dublin 3",http://www.daft.ie/dublin/apartments-for-rent/drumcondra/145-147-waterfall-court-apt-15-waterfall-avenue-drumcondra-dublin-1884704/,-6.247849,53.366107
51,NULL,€650 Per week,"De Vesci Court, Monkstown, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/monkstown/de-vesci-court-monkstown-dublin-1892253/,-6.14496,53.292807
52,NULL,"€2,600 Per month","83 St Mary'S Lane, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/83-st-marys-lane-ballsbridge-dublin-1871078/,-6.239768,53.334992
53,https://www.daft.ie/dublin/estate-agents/rathgar/brackenestates/,"€2,750 Per month","13 Milltown Avenue, Mount St Annes, Milltown, Dublin 6",http://www.daft.ie/dublin/houses-for-rent/milltown/13-milltown-avenue-mount-st-annes-milltown-dublin-1892769/,-6.248429,53.313875
54,https://www.daft.ie/dublin/estate-agents/dun-laoghaire/corelettings/,"€2,980 Per month","Dunbar, Off Eglington Road, Donnybrook, Donnybrook, Dublin 4",http://www.daft.ie/dublin/houses-for-rent/donnybrook/dunbar-off-eglington-road-donnybrook-donnybrook-dublin-1894005/,-6.233509,53.318639
55,NULL,"€3,900 Per month","The Penthouses At Custom House Square, Docklands, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/the-penthouses-at-custom-house-square-docklands-dublin-1-dublin-1893207/,-6.243003,53.349617
56,NULL,"€2,300 Per month","Castleknock, Dublin 15, Castleknock, Dublin 15",http://www.daft.ie/dublin/houses-for-rent/castleknock/castleknock-dublin-15-castleknock-dublin-1896295/,-6.389415,53.37057
57,NULL,"€2,200 Per month","20 Millbrook Village, Milltown, Dublin 6",http://www.daft.ie/dublin/houses-for-rent/milltown/20-millbrook-village-milltown-dublin-1894885/,-6.243831,53.316476
58,NULL,"€5,000 Per week","32 North Circular Road, North Circular Road, Dublin 1",http://www.daft.ie/dublin/houses-for-rent/north-circular-road/32-north-circular-road-north-circular-road-dublin-1894622/,-6.296504,53.352899
59,https://www.daft.ie/dublin/estate-agents/dublin-2/getproperty/,"€3,500 Per month","Drumnigh Wood, Portmarnock, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/portmarnock/drumnigh-wood-portmarnock-dublin-1897215/,-6.154665,53.414899
60,NULL,"€2,750 Per month","Rockville Crescent, Blackrock, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/blackrock/rockville-crescent-blackrock-dublin-1896919/,-6.16815,53.290688
61,NULL,"€1,400 Per month","St James Court, Mount Brown, St James Street, Kilmainham, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/kilmainham/st-james-court-mount-brown-st-james-street-kilmainham-dublin-1891413/,-6.29713,53.341874
62,NULL,"€2,800 Per month","The Stockyard, The Steelworks, Foley Street, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/the-stockyard-the-steelworks-foley-street-dublin-1-dublin-1895310/,-6.251464,53.351917
63,NULL,"€2,000 Per month","82 Lower Beechwood Avenue, Ranelagh, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/ranelagh/82-lower-beechwood-avenue-ranelagh-dublin-1868429/,-6.253605,53.324233
64,NULL,"€2,650 Per month","Raglan Road, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/raglan-road-ballsbridge-dublin-1897874/,-6.231359,53.329766
65,NULL,€500 Per week,"Booterstown Avenue, Blackrock, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/blackrock/booterstown-avenue-blackrock-dublin-1898057/,-6.196549,53.30754
66,https://www.daft.ie/dublin/estate-agents/rathgar/mtssalesandlettings/,"€3,500 Per month","Inglenook Wood, Glenamuck Road, Carrickmines, Dublin 18",http://www.daft.ie/dublin/houses-for-rent/carrickmines/inglenook-wood-glenamuck-road-carrickmines-dublin-1897530/,-6.185555,53.245819
67,NULL,"€1,555 Per month","178 Rathgar Road, Rathmines, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/rathmines/178-rathgar-road-rathmines-dublin-1897951/,-6.268217,53.319693
68,NULL,"€1,600 Per month","87 Tolka Vale, Finglas Road, Glasnevin, Dublin 11",http://www.daft.ie/dublin/apartments-for-rent/glasnevin/87-tolka-vale-finglas-road-glasnevin-dublin-1897105/,-6.287764,53.377657
69,NULL,"€2,500 Per month","Joy Streets, Dublin 4",http://www.daft.ie/dublin/houses-for-rent/dublin-4/joy-streets-dublin-4-dublin-1894068/,-6.229928,53.329319
70,NULL,"€2,800 Per month","The William Bligh, The Gasworks, Barrow Street, Ringsend, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ringsend/the-william-bligh-the-gasworks-barrow-street-ringsend-dublin-1893517/,-6.226719,53.341728
71,https://www.daft.ie/dublin/estate-agents/ranelagh/mfothepropertyprofessionals/,"€4,000 Per month","Glenomena Park, Stillorgan, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/stillorgan/glenomena-park-stillorgan-dublin-1896682/,-6.211088,53.30807
