id,agentURL,price,addr,daftURL,longitude,latitude,overviews,city_center_distance,dwelling_type
1189,NULL,"€1,400 Per month","Old Kilmainham Road, Kilmainham, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/kilmainham/old-kilmainham-road-kilmainham-dublin-1922531/,-6.306796,53.340473,"Furnished, 1 Bedroom (1 double), 1 Bathroom",3.3,"Apartment to Rent"
1190,NULL,"€1,100 Per month","Clarinda Park East, Dun Laoghaire, Co. Dublin",http://www.daft.ie/dublin/flats-for-rent/dun-laoghaire/clarinda-park-east-dun-laoghaire-dublin-1918223/,-6.131435,53.288655,"Furnished, 1 Bedroom (1 double), 1 Bathroom",10.7,"Flat to Rent"
1191,NULL,"€1,500 Per month","151 Parnell Street, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/151-parnell-street-dublin-1-dublin-1927984/,-6.260155,53.353397,"Furnished, 1 Bedroom (1 double), 1 Bathroom",0.7,"Apartment to Rent"
1192,NULL,"€450 Per week","Monksfield Carrickbrennan Road, Monkstown, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/monkstown/monksfield-carrickbrennan-road-monkstown-dublin-1913368/,-6.150195,53.289522,"Furnished, 1 Bedroom (1 double), 1 Bathroom",9.7,"House to Rent"
1193,NULL,"€4,500 Per month","The Penthouses At Custom House Square, Docklands, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/the-penthouses-at-custom-house-square-docklands-dublin-1-dublin-1915747/,-6.243493,53.349284,"Furnished, 3 Bedrooms (3 double), 2 Bathrooms",1.1,"Apartment to Rent"
1194,https://www.daft.ie/dublin/estate-agents/dublin-2/capitalproperties/,"€1,900 Per month","Camden Street Upper, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/camden-street-upper-dublin-2-dublin-1930019/,-6.265092,53.332872,"Furnished, 2 Bedrooms (2 double), 1 Bathroom",1.6,"Apartment to Rent"
1195,NULL,"€400 Per month","Castaheany Estate, Clonee, Dublin 15",http://www.daft.ie/dublin/houses-for-rent/clonee/castaheany-estate-clonee-dublin-1921118/,-6.427675,53.402406,"Furnished, 1 Bedroom (1 single), 1 Bathroom",12.8,"House to Rent"
1196,NULL,"€695 Per week","Orwell Gardens, Rathgar, Dublin 6",http://www.daft.ie/dublin/houses-for-rent/rathgar/orwell-gardens-rathgar-dublin-1923651/,-6.264117,53.305082,"Furnished, 3 Bedrooms (1 single, 2 double), 3 Bathrooms",4.7,"House to Rent"
1197,NULL,"€2,100 Per month","Northumberlands, Love Lane, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/northumberlands-love-lane-dublin-2-dublin-1929999/,-6.254226,53.340022,"Furnished, 2 Bedrooms (2 double), 1 Bathroom",0.9,"Apartment to Rent"
1198,https://www.daft.ie/dublin/estate-agents/phibsborough/propertyteamlappin_fairview/,"€1,600 Per month","6 The Oaks, Stradbrook Hill, Blackrock, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/blackrock/6-the-oaks-stradbrook-hill-blackrock-dublin-1929991/,-6.131443,53.247873,"Furnished, 1 Bedroom (1 double), 1 Bathroom",14,"Apartment to Rent"
1199,NULL,"€1,100 Per month","42 Celtic Park Avenue, Collinswood, Dublin 9",http://www.daft.ie/dublin/apartments-for-rent/collinswood/42-celtic-park-avenue-collinswood-dublin-1929987/,-6.230084,53.379505,"Furnished, 1 Bedroom (1 double), 1 Bathroom",4.1,"Apartment to Rent"
1200,NULL,"€1,950 Per month","45 Heather Court Stepaside Park, Stepaside, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/stepaside/45-heather-court-stepaside-park-stepaside-dublin-1929975/,-6.207132,53.253555,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",11,"Apartment to Rent"
1201,https://www.daft.ie/dublin/estate-agents/malahide/forsyth/,"€2,600 Per month","Hatch Street, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/hatch-street-dublin-2-dublin-1929961/,-6.258888,53.333817,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",1.5,"Apartment to Rent"
1202,NULL,"€550 Per week","95 Francis Street, Christchurch, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/christchurch/95-francis-street-christchurch-dublin-1929950/,-6.274379,53.340313,"Furnished, 2 Bedrooms (1 single, 1 double), 1 Bathroom",1.3,"Apartment to Rent"
1203,NULL,"€1,600 Per month","28 Frankfort Court, Rathgar, Rathgar, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/rathgar/28-frankfort-court-rathgar-rathgar-dublin-1929948/,-6.267108,53.316250,"Furnished or unfurnished, 1 Bedroom (1 double), 1 Bathroom",3.5,"Apartment to Rent"
1204,https://www.daft.ie/dublin/estate-agents/swords/mortonflanagan/,"€1,200 Per month","The Court, Larch Hill, Oscar Traynor Road, Coolock, Dublin 17",http://www.daft.ie/dublin/apartments-for-rent/coolock/the-court-larch-hill-oscar-traynor-road-coolock-dublin-1929947/,-6.226994,53.398296,"Furnished, 2 Bedrooms (2 double), 1 Bathroom",6.1,"Apartment to Rent"
1205,NULL,"€1,800 Per month","Apartment 64, Wellington, Riverpark Apartments, Co, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/dublin-8/apartment-64-wellington-riverpark-apartments-co-dublin-8-dublin-1929929/,-6.291058,53.337518,"Furnished, 2 Bedrooms (2 double), 1 Bathroom",2.4,"Apartment to Rent"
1206,https://www.daft.ie/dublin/estate-agents/ballsbridge/residencesnumberone/,"€3,850 Per month","Number 1 Ballsbridge Shelbourne Road, Ballsbridge, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ballsbridge/number-1-ballsbridge-shelbourne-road-ballsbridge-dublin-1890587/,-6.234195,53.330810,"Furnished, 2 Bedrooms (2 double), 3 Bathrooms",2.5,"Apartment to Rent"
1207,https://www.daft.ie/dublin/estate-agents/sandyford/keaneandthompson/,"€1,954 Per month","Apt. 25 Dundrum Gate, Ballinteer Road, Dundrum, Dublin 16",http://www.daft.ie/dublin/apartments-for-rent/dundrum/apt-25-dundrum-gate-ballinteer-road-dundrum-dublin-1926918/,-6.238967,53.286423,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",6.9,"Apartment to Rent"
1208,https://www.daft.ie/dublin/estate-agents/dublin-1/alandonnelly/,"€1,100 Per month","17 Blessington Street, Dublin 1, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/17-blessington-street-dublin-1-dublin-1-dublin-1911064/,-6.266835,53.356424,"Furnished, 1 Bedroom (1 twin), 1 Bathroom",1.1,"Apartment to Rent"
