time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-29T17:39:44.540Z,23.0333,94.8184,133.05,4.7,mb,,122,1.19,0.9,us,us70003e51,2019-04-29T21:12:52.040Z,"78km SSE of Mawlaik, Burma",earthquake,8,6.9,0.075,53,reviewed,us,us
2019-04-29T17:37:01.330Z,37.4186667,-118.3635,7.25,3.8,mw,39,86,0.05315,0.06,nc,nc73174010,2019-04-30T17:38:15.195Z,"6km NE of Dixon Lane-Meadow Creek, CA",earthquake,0.25,0.66,,5,reviewed,nc,nc
2019-04-29T17:33:27.597Z,18.1151,120.0428,10,4.8,mb,,83,4.778,0.56,us,us70003e4s,2019-04-30T13:15:31.040Z,"47km W of Callaguip, Philippines",earthquake,4.7,1.9,0.049,128,reviewed,us,us
2019-04-29T16:35:08.818Z,-28.1491,-67.3868,129.74,5,mb,,40,2.026,0.72,us,us70003e2q,2019-04-29T17:23:05.040Z,"19km ESE of Tinogasta, Argentina",earthquake,7.4,6.5,0.033,286,reviewed,us,us
2019-04-29T14:27:13.610Z,38.5785,-119.7876667,0.3,2.58,md,4,324,0.7933,0.1,nc,nc73173940,2019-04-30T02:05:06.729Z,"12km S of Markleeville, CA",earthquake,1.04,31.61,0.012,4,reviewed,nc,nc
2019-04-29T14:19:52.596Z,10.882,57.2395,10,6.2,mww,,47,14.023,1.13,us,us70003e0j,2019-04-30T14:22:31.298Z,"Carlsberg Ridge",earthquake,7.3,1.8,0.071,19,reviewed,us,us
2019-04-29T14:07:13.809Z,-30.7862,-71.5115,39.42,4.7,mb,,134,0.154,0.65,us,us70003e09,2019-04-29T22:32:43.763Z,"36km SW of Ovalle, Chile",earthquake,5.9,6,0.208,7,reviewed,us,us
2019-04-29T13:36:04.901Z,33.5053,81.4869,15.71,4.5,mb,,135,6.86,0.74,us,us70003e00,2019-04-29T17:10:57.040Z,"126km NNE of Napug, China",earthquake,5.4,4.7,0.108,25,reviewed,us,us
2019-04-29T13:22:51.437Z,44.8714,-28.0159,10,4.7,mb,,57,7.344,0.76,us,us70003dzu,2019-04-29T17:09:43.040Z,"Northern Mid-Atlantic Ridge",earthquake,10.4,1.9,0.041,183,reviewed,us,us
2019-04-29T13:01:21.035Z,52.6763,-167.7133,26.68,3.6,mb,,215,0.753,0.43,us,us70003dzl,2019-04-29T13:23:56.040Z,"83km ESE of Nikolski, Alaska",earthquake,19.8,23.5,0.102,24,reviewed,us,us
2019-04-29T12:07:27.017Z,34.1897,36.1632,10,3.5,mb,,113,2.46,1.07,us,us70003eac,2019-04-30T07:57:29.295Z,"15km ESE of Bcharre, Lebanon",earthquake,4.8,2,0.286,3,reviewed,us,us
2019-04-29T12:04:35.524Z,55.5432,160.534,144.15,4.4,mb,,123,2.756,0.73,us,us70003dyv,2019-04-29T13:03:55.040Z,"123km ESE of Esso, Russia",earthquake,10.7,9.1,0.043,157,reviewed,us,us
2019-04-29T10:23:52.676Z,66.3187,-157.4938,13.3,3.2,ml,,,,0.86,ak,ak0195gz1o9j,2019-04-29T10:29:35.922Z,"71km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-29T10:18:48.190Z,18.8275,-64.9498,56,3.29,md,6,337,1.1305,0.36,pr,pr2019119007,2019-04-29T11:54:03.814Z,"53km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.36,12.79,0.19,5,reviewed,pr,pr
2019-04-29T09:56:30.099Z,31.6941,138.4044,380.37,4.2,mb,,130,1.851,0.31,us,us70003dw1,2019-04-30T12:46:32.807Z,"202km SW of Hachijo-jima, Japan",earthquake,9.8,6.6,0.115,21,reviewed,us,us
2019-04-29T08:07:40.832Z,-14.4458,-75.4838,38.22,4.6,mb,,132,2.778,0.89,us,us70003dtx,2019-04-29T20:03:28.322Z,"31km WNW of Rio Grande, Peru",earthquake,8.3,7,0.044,156,reviewed,us,us
2019-04-29T07:16:08.380Z,39.3476667,-123.2351667,3.07,4.32,mw,52,57,0.1448,0.1,nc,nc73173775,2019-04-30T15:58:33.947Z,"10km NNW of Redwood Valley, CA",earthquake,0.13,1.5,,5,reviewed,nc,nc
2019-04-29T06:29:56.122Z,61.3867,-149.9443,38.1,2.9,ml,,,,0.57,ak,ak0195gwp8fh,2019-04-30T06:31:47.389Z,"15km S of Big Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-04-29T05:51:40.112Z,66.3009,-156.929,0,2.9,ml,,,,0.85,ak,ak0195gw8hbh,2019-04-29T05:56:12.145Z,"67km S of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-04-29T05:24:00.992Z,34.5418,137.5425,313.88,4.5,mb,,51,0.545,0.75,us,us70003ds5,2019-04-29T13:26:21.040Z,"19km S of Kosai-shi, Japan",earthquake,7.6,5.1,0.056,92,reviewed,us,us
2019-04-29T05:21:25.070Z,19.1311,-66.7216,61,2.57,md,4,334,0.7851,0.31,pr,pr2019119001,2019-04-29T08:22:31.897Z,"72km N of Arecibo, Puerto Rico",earthquake,5.39,10.02,0.3,4,reviewed,pr,pr
2019-04-29T05:18:28.740Z,44.2948333,-110.6116667,2.99,2.59,ml,17,124,0.1034,0.16,uu,uu60322852,2019-04-29T14:31:09.560Z,"25km SE of Old Faithful Geyser, Wyoming",earthquake,0.38,0.96,0.394,6,reviewed,uu,uu
